,Smiles,sdg
0,O=C1CCCCC1C1CCCCC1,391.0
1,Nc1ccc(-c2ccccc2)cc1,440.0
2,CCC(C)C1CCCCC1,319.0
3,C=C/C=C/CC,240.0
4,C=C(C)/C=C/C,253.0
5,CC(C)COC(C)(C)C,276.0
6,CCc1ccc(CCc2ccc(CC)cc2)cc1,409.0
7,c1ccc(-c2ccccc2-c2ccccc2)cc1,436.0
8,c1ccc(-c2cccc(-c3ccccc3)c2)cc1,465.0
9,OCCCCCCCCCCO,435.0
10,C1CCC(C2CCCCC2)CC1,360.0
11,CC(=O)OC(C)OC(C)=O,335.0
12,CC(=O)OCC(COC(C)=O)OC(C)=O,405.0
13,CCCCCCCOC(=O)c1ccc(C(=O)OCCCCCCC)c(C(=O)OCCCCCCC)c1,549.0
14,COC(=O)c1ccc(C(=O)OC)c(C(=O)OC)c1,466.0
15,OCCC(O)CO,456.0
16,CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,515.0
17,Nc1ccccc1N,406.0
18,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,481.0
19,CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C,434.0
20,CCCCOC(=O)c1ccccc1C(=O)OCCCC,448.0
21,CCOC(=O)c1ccccc1C(=O)OCC,420.0
22,CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,487.0
23,CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,474.0
24,CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C,514.0
25,CC(C)CCCCCOC(=O)c1ccccc1C(=O)OCCCCCC(C)C,502.0
26,COC(=O)c1ccccc1C(=O)OC,413.0
27,CCCOC(=O)c1ccccc1C(=O)OCCC,432.0
28,CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCCCC,539.0
29,CCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,500.0
30,CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCC,524.0
31,CC(C)(C)c1ccc(O)c(O)c1,423.0
32,C=C=C(C)C,231.0
33,CCC(O)CO,372.0
34,CN(C)CCN(C)C,289.0
35,CC(=O)OCCOC(C)=O,359.0
36,C=C=CCCC,254.0
37,C=C=CCC,233.0
38,CC(O)CO,370.0
39,OCC(O)CCl,400.0
40,CC1OC(C)OC(C)O1,296.0
41,Cc1c(N)cccc1N,420.0
42,O=C(Cl)c1cccc(C(=O)Cl)c1,422.0
43,COC(=O)c1cccc(C(=O)OC)c1,403.0
44,C=CC(=C)Cl,244.6
45,CC(O)CCO,381.0
46,C1=CCCC=C1,257.0
47,CC1=CC=C(C(C)C)CC1,319.0
48,CC1=CCC(C(C)C)C=C1,321.0
49,C1COCOC1,287.0
50,O=C1OC(=O)c2ccccc21,422.0
51,C=C/C=C/C,231.0
52,C=C/C=C\C,233.0
53,CCC(O)C(C)CO,392.0
54,CC(C)(CO)CO,379.0
55,CCC(CO)(CO)CO,447.0
56,CC(CO)CO,385.0
57,Nc1ccc(N)cc1,415.0
58,Nc1ccc(Nc2ccccc2)cc1,466.0
59,O=Cc1ccc(C=O)cc1,393.0
60,O=C(O)c1ccc(C(=O)O)cc1,533.15
61,O=C(OCCO)c1ccc(C(=O)OCCO)cc1,544.0
62,COC(=O)c1ccc(C(=O)OC)cc1,414.15
63,CCCCCCCCOC(=O)c1ccc(C(=O)OCCCCCCCC)cc1,505.0
64,OCCCCO,402.0
65,CC1=CCC(C(C)C)=CC1,327.0
66,COC(=O)C1CCC(C(=O)OC)CC1,399.0
67,O=C(O)[C@H]1CC[C@H](C(=O)O)CC1,508.0
68,OCC1CCC(CO)CC1,429.0
69,C=CCC=CC,251.0
70,C=CCC=C,219.0
71,C1=C\CC/C=C\CC/C=C\CC/1,357.0
72,C1=CCCC=CCC1,305.0
73,C=C(C)CCC(=C)C,278.0
74,NCCCCCN,337.0
75,OCCCCCO,407.0
76,OCCCCCCO,410.0
77,C=CCCCCCCC=C,316.0
78,CCCCN,263.0
79,CCCCN(CCCC)CCCC,354.0
80,CCCCN(C)C,266.0
81,CCCCNCCCC,307.0
82,CCCCS,272.0
83,CCCCO,306.0
84,CCC(CC)CO,330.0
85,CCC(C)CO,313.0
86,CC(C)CCO,313.0
87,CC(=O)OCCC(C)C,302.0
88,C#CC(=C)C,219.0
89,C=C(C)C(C)(C)C,249.0
90,C=C(C)C(C)C,236.0
91,C=C(C)CC,221.0
92,C=CC(C)(C)C,225.0
93,C=CC(Cl)CCl,298.0
94,C=CC(C)C,212.0
95,C#CCC,208.0
96,C#CC(C)C,219.0
97,CCCCCCCCCCN,357.0
98,CCCCCCCCCCS,366.0
99,CCCCCCCCC(CO)CCCC,425.0
100,C=CCCCCCCCC,311.0
101,C#CCCCCCCCC,320.0
102,CCCCCCCCCCCC=O,378.0
103,CCCCCCCCCCCCN,383.0
104,CCCCCCCCCCCCS,389.0
