,Smiles,sdg,Canonical_SMILES,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
0,O=C1CCCCC1C1CCCCC1,391.0,O=C1CCCCC1C1CCCCC1,13.150126133786847,13.150126133786847,2.6556146069538933,-4.691087962962964,0.6046460066608431,97.6923076923077,180.29100000000017,160.13099999999997,180.15141526,74,0,0.13575235926399815,-0.2993919362089147,0.2993919362089147,0.13575235926399815,1.0769230769230769,1.7692307692307692,2.5384615384615383,2.6210746951317097,3.2050293457624477,853.4760942401209,27.077350269189626,26.408248290463863,6.408248290463863,13.904700538379252,13.454124145231932,3.4541241452319316,2.2041241452319316,2.2041241452319316,1.4030931089239487,1.4030931089239487,0.8520620726159658,0.8520620726159658,-0.33,1934405.5465011043,1.5220611264894008,4.255264848961771,2.1233459784028486,109.00288408253373,0.0,5.783244946364939,0.0,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,25.491699605317518,31.385657290680598,39.682053710096866,0.0,32.20970830747622,5.783244946364939,0.0,0.0,11.787915370726157,57.356324111964405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.783244946364939,4.794537184071822,11.787915370726157,84.77149523536876,0.0,0.0,0.0,0.0,17.07,74.92748442905551,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.415171123404395,159.7625212585034,0.0,13.150126133786847,0.0,0.0,-12.010591458805749,0.0,-38.48538926681786,0.0,0.0,0.9166666666666666,13,0,1,2,0,2,0,0,0,1,0,1,1,2,0,2,2,3.3260000000000023,53.54000000000004,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Nc1ccc(-c2ccccc2)cc1,440.0,Nc1ccc(-c2ccccc2)cc1,7.972286470143613,7.972286470143613,0.06302007222642114,-0.7057303476946337,0.6524355721249985,21.384615384615383,169.22700000000006,158.13899999999995,169.089149352,64,0,0.1562157506269086,-0.3987282565104884,0.3987282565104884,0.1562157506269086,0.8461538461538461,1.4615384615384615,2.076923076923077,2.5186946472513783,3.007918924693048,787.8635865737243,18.505553499465137,17.44721359549996,6.447213595499958,11.017519627752554,8.868033988749895,3.473606797749979,2.223606797749979,2.223606797749979,1.3618033988749896,1.3618033988749896,0.8059016994374948,0.8059016994374948,-1.7599999999999998,126438.47129201918,2.1821971140030985,3.3149108204518427,1.6972013310628191,93.39917678889631,5.719716975726273,0.0,2.8236841566564013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.29693095364306,23.21174039872058,5.687386274683562,12.33682700553198,15.16051116218838,5.687386274683562,0.0,0.0,0.0,0.0,5.719716975726273,54.38176836896965,0.0,11.126902983393991,5.719716975726273,5.687386274683562,0.0,0.0,0.0,0.0,0.0,12.33682700553198,54.38176836896965,2.8236841566564013,11.126902983393991,0.0,26.02,71.1960576270472,0.0,0.0,5.719716975726273,0.0,0.0,0.0,0.0,0.0,0.0,15.16051116218838,84.61118743176283,0.0,0.0,0.0,-1.5771145124716541,0.0,-6.034072919291172,0.0,0.0,0.0,0.0,13,2,1,0,0,0,2,0,2,1,1,1,2,0,0,0,2,2.9358000000000013,56.29040000000002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,CCC(C)C1CCCCC1,319.0,CCC(C)C1CCCCC1,8.425,8.425,4.041767644557824,-4.636458333333335,0.5493432091052539,89.6,140.27000000000007,120.10999999999997,140.15650064,60,0,0.030542145219911363,-0.06511811991711355,0.06511811991711355,0.030542145219911363,1.8,2.6,3.2,2.481087650240676,4.386582319097659,661.3561964860029,25.0,25.0,5.0,12.5,12.5,2.5,1.5,1.5,0.875,0.875,0.4375,0.4375,0.0,356631.5388455948,0.9,4.0,2.0,93.11730890722596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.94133364256763,11.787915370726157,27.415171123404395,0.0,27.415171123404395,0.0,0.0,0.0,11.787915370726157,51.94133364256763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.787915370726157,79.356504765972,0.0,0.0,0.0,0.0,0.0,63.72924901329378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.415171123404395,155.78871704931973,0.0,0.0,0.0,0.0,-9.26666666666667,0.0,-25.64984587585035,-8.372204506802728,0.0,1.0,10,0,0,1,0,1,0,0,0,0,0,0,4,1,0,1,1,3.6128000000000027,46.03000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,C=C/C=C/CC,240.0,C=C/C=C/CC,7.196412037037037,7.196412037037037,0.9878472222222221,-3.1380149281935,0.4475555500220085,40.666666666666664,82.14599999999994,72.06599999999999,82.07825032,34,0,0.06191057993923655,-0.09907695790347879,0.09907695790347879,0.06191057993923655,2.5,3.5,4.166666666666667,2.1172576356134205,5.599626534227566,327.7086422474957,13.309401076758503,13.0,3.0,6.925426480542941,6.25,1.25,0.5,0.5,0.1875,0.1875,0.0625,0.0625,-0.52,1272.4718390036658,0.5245651842129363,4.480000000000002,3.4800000000000018,53.23446053712224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.539146317404246,6.372924901329379,6.853792780851101,6.853792780851101,13.7075855617022,0.0,0.0,0.0,0.0,13.224817018625059,0.0,24.687254200108566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.932402580327256,24.687254200108566,0.0,0.0,0.0,0.0,37.91207121873362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.7075855617022,69.73885582010581,0.0,0.0,0.0,0.0,0.0,-3.283564814814815,-3.077546296296296,-4.211078042328043,0.0,0.3333333333333333,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2.1386000000000003,29.627999999999986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,C=C(C)/C=C/C,253.0,C=C(C)/C=C/C,7.251157407407407,7.251157407407407,1.033680555555555,-2.950925925925926,0.42498877012082603,40.666666666666664,82.14599999999994,72.06599999999999,82.07825032,34,0,0.0621810571306254,-0.0961246619045398,0.0961246619045398,0.0621810571306254,2.3333333333333335,3.3333333333333335,3.8333333333333335,1.9667078262464,5.7426934826719505,322.1988672431687,13.309401076758503,13.0,3.0,6.886751345948129,6.25,1.25,0.625,0.625,0.1875,0.1875,0.0625,0.0625,-0.52,1034.4883166056063,0.5245651842129363,2.7032142857142865,3.4800000000000018,53.23446053712224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.208286984142266,13.703784234591359,8.224551337021321,5.483034224680881,13.7075855617022,0.0,0.0,0.0,0.0,13.703784234591359,0.0,24.208286984142266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.411369796293556,24.208286984142266,0.0,0.0,0.0,0.0,37.91207121873362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.7075855617022,69.55601851851851,0.0,0.0,0.0,-1.033680555555555,0.0,-2.295717592592592,0.0,-7.0599537037037035,0.0,0.3333333333333333,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2.1386000000000003,29.627999999999986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,CC(C)COC(C)(C)C,276.0,CC(C)COC(C)(C)C,7.7437499999999995,7.7437499999999995,3.980442176870751,-4.36041666666667,0.5576209989865297,52.0,130.23099999999994,112.08699999999997,130.135765196,56,0,0.05981493888059603,-0.3756003884688691,0.3756003884688691,0.05981493888059603,1.6666666666666667,2.3333333333333335,2.7777777777777777,2.265442860695391,7.003255052408842,473.9769022168,22.707106781186546,22.408248290463863,4.408248290463863,11.207106781186548,10.908248290463863,1.9082482904638631,1.260310363079829,1.260310363079829,0.3061862178478973,0.3061862178478973,0.1275775907699572,0.1275775907699572,-0.04,64374.824329520234,0.8424124349182459,3.2100399595076996,7.9600000000000035,83.69686006113328,4.736862953800049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.703784234591359,26.449634037250117,28.491122141639803,8.342567923324129,29.410516964864005,0.0,0.0,0.0,5.893957685363079,39.86051139746208,6.558985242916288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.160036053899976,4.736862953800049,5.893957685363079,58.93311459754241,0.0,0.0,0.0,0.0,9.23,52.31345432574144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.736862953800049,24.673654011063956,136.58218537414965,0.0,0.0,0.0,-4.30625,-4.208333333333336,0.0,0.0,-24.56760204081634,0.0,1.0,9,0,1,0,0,0,0,0,0,1,0,1,4,0,0,0,0,2.4575000000000005,40.543000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,CCc1ccc(CCc2ccc(CC)cc2)cc1,409.0,CCc1ccc(CCc2ccc(CC)cc2)cc1,8.468689767573697,8.468689767573697,1.247119427387423,-3.72913182634165,0.7140277908508232,32.888888888888886,238.37400000000017,216.19799999999995,238.172150704,94,0,0.06257063176661704,-0.061294135377560954,0.06257063176661704,0.061294135377560954,0.7222222222222222,1.0555555555555556,1.3888888888888888,2.7432168055947237,2.993005329238696,1181.9642720350696,31.928203230275514,31.0,9.0,17.523502691896258,15.75,4.75,3.0,3.0,1.8125,1.8125,1.0,1.0,-1.5599999999999996,61071755.68001436,2.5195477455163373,6.393460366483331,3.4641566014160774,141.58750101563243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.04313389589772,47.7455055721055,19.190619786383078,10.96606844936176,30.156688235744834,0.0,0.0,0.0,0.0,39.195483839908874,0.0,70.59315562809434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.491699605317518,0.0,66.11427843712424,48.33934966130636,0.0,0.0,0.0,0.0,109.78863946800323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.156688235744834,174.8419776305455,0.0,0.0,0.0,-5.195440747569001,0.0,-10.828938633916989,-14.35195056117606,-6.965647687883442,0.0,0.3333333333333333,18,0,0,0,0,0,2,0,2,0,0,0,7,0,0,0,2,4.596600000000004,79.04800000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,c1ccc(-c2ccccc2-c2ccccc2)cc1,436.0,c1ccc(-c2ccccc2-c2ccccc2)cc1,8.358942743764173,8.358942743764173,0.5495086923658346,-0.7719057067271351,0.5794896680157823,21.11111111111111,230.3100000000001,216.19799999999995,230.109550448,86,0,0.06294615121606432,-0.062225389335156533,0.06294615121606432,0.062225389335156533,0.4444444444444444,0.7777777777777778,1.1666666666666667,2.767132476437602,2.6923762102277857,1152.2300113868353,24.392304845413268,23.0,9.0,14.74957043532143,12.0,5.0,3.25,3.25,2.1875,2.1875,1.4375,1.4375,-2.339999999999999,6620087.736629319,3.3576689709719787,4.8865898481517185,2.052512212710218,127.21517853397437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.59386190728614,22.253805966787983,0.0,19.190619786383078,19.190619786383078,0.0,0.0,0.0,0.0,0.0,0.0,84.59386190728614,0.0,22.253805966787983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.190619786383078,84.59386190728614,0.0,22.253805966787983,0.0,0.0,106.84766787407415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.190619786383078,112.75982158040242,0.0,0.0,0.0,-2.228996598639454,0.0,-10.530824981762931,0.0,0.0,0.0,0.0,18,0,0,0,0,0,3,0,3,0,0,0,2,0,0,0,3,5.0206000000000035,77.31400000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,c1ccc(-c2cccc(-c3ccccc3)c2)cc1,465.0,c1ccc(-c2cccc(-c3ccccc3)c2)cc1,8.580498866213151,8.580498866213151,0.5480400184765262,-0.7873866213151921,0.5794896680157823,21.11111111111111,230.3100000000001,216.19799999999995,230.109550448,86,0,0.06358032326316666,-0.06222539487295861,0.06358032326316666,0.06222539487295861,0.4444444444444444,0.8333333333333334,1.2777777777777777,2.762055637785476,2.591512756670007,1155.9800113868355,24.392304845413268,23.0,9.0,14.74957043532143,12.0,5.0,3.25,3.25,2.125,2.125,1.34375,1.34375,-2.339999999999999,6558224.906357834,3.3576689709719787,4.8865898481517185,2.1842195484317144,127.21517853397437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.55144319962284,28.296224674451278,0.0,19.190619786383078,19.190619786383078,0.0,0.0,0.0,0.0,0.0,0.0,84.59386190728614,0.0,22.253805966787983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.190619786383078,84.59386190728614,0.0,22.253805966787983,0.0,0.0,106.84766787407415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.190619786383078,112.53640251376542,0.0,0.0,0.0,-2.2260592508608377,0.0,-10.310343262904585,0.0,0.0,0.0,0.0,18,0,0,0,0,0,3,0,3,0,0,0,2,0,0,0,3,5.0206000000000035,77.31400000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,OCCCCCCCCCCO,435.0,OCCCCCCCCCCO,7.8784970238095235,7.8784970238095235,3.426766781539353,-4.642437287414968,0.5254183460336856,49.333333333333336,174.2840000000002,152.10799999999998,174.161979944,74,0,0.2100365348450359,-0.3963765693422825,0.3963765693422825,0.2100365348450359,0.6666666666666666,1.0,1.3333333333333333,2.656995728515238,7.056280549372486,675.9673025315899,28.414213562373096,27.816496580927726,5.816496580927726,14.371320343559644,13.47474487139159,2.658248290463863,1.2041241452319316,1.2041241452319316,0.5395620726159658,0.5395620726159658,0.2385310363079829,0.2385310363079829,-0.08,1993389.7893527292,1.311601422646897,10.92,9.92,106.69488908173733,10.217616382214425,0.0,0.0,2.8623993144652684,0.0,0.0,0.0,0.0,0.0,0.0,38.237549407976275,12.745849802658759,35.0501073845561,5.483034224680881,37.632787505618836,0.0,2.8623993144652684,0.0,0.0,50.98339921063503,13.117970485832576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.19798618251227,0.0,0.0,78.39857033403942,0.0,0.0,0.0,0.0,40.46,64.1013696964676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.217616382214425,30.277570437869667,166.41757084057443,0.0,0.0,6.853533563078706,0.0,0.0,0.0,-35.85301474469495,-7.918089658958168,0.0,1.0,12,2,2,0,0,0,0,0,0,2,2,2,11,0,0,0,0,2.0918000000000005,51.10760000000003,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
