Compound Id,Smiles,pIGC50
1,C(Cl)(Cl)(Cl)Cl,-0.16
2,C([N+](=O)[O-])Br,1.64
3,CO,-2.72
4,C(=O)NN,-0.87
5,C(=S)(N)N,-1.32
6,C(#N)C(Cl)(Cl)Cl,1.88
7,C(#N)C(Br)Br,2.4
8,C(#N)C(Cl)Cl,0.97
9,C(C#N)Br,2.23
10,C(C#N)Cl,0.85
11,C(C#N)I,2.47
12,C(=O)(C(Cl)(Cl)Cl)N,-0.29
13,CC#N,-2.28
14,C(C(Br)(Br)Br)O,0.11
15,C(C(Cl)(Cl)Cl)O,-0.46
16,C(C(=O)N)(Cl)Cl,-0.98
17,C(C(Cl)Cl)O,-0.99
18,C(C(=O)N)Br,1.52
19,C(C(=O)N)Cl,0.04
20,C(C(=O)N)I,1.85
21,COC=O,-1.5
22,C(CBr)O,-0.85
23,C(CCl)O,-1.42
24,C/C=N/O,-1.25
25,CC(=O)N,-2.32
26,COC(=O)N,-1.97
27,CCO,-2.24
28,CC(=O)NN,-1.38
29,CNC(=S)N,-1.37
30,CS(=O)C,-2.47
31,CS(=O)(=O)C,-2.2
32,C(CO)N,-1.01
33,C1(=C(N=C(N1)Br)Br)Br,1.43
34,C(C#N)C#N,0.22
35,C#CC(=O)O,-0.29
36,CC(C#N)Br,0.63
37,C(CBr)C#N,-0.5
38,CC(C#N)Cl,-0.86
39,C(CCl)C#N,-1.06
40,C1=CN=CN1,-1.0
41,C1=CNN=C1,-1.53
42,C=CC=O,1.65
43,C#CCO,-0.91
44,CC(=O)C(Cl)Cl,0.64
45,C(C(=O)CCl)Cl,2.05
46,C1COC1=O,-0.13
47,C=CC(=O)O,0.16
48,C(C(=O)O)C(=O)O,-0.71
49,C=CCBr,0.57
50,C=CCCl,-0.94
51,C=CCI,0.8
52,C#CCN,-0.83
53,CCC#N,-1.97
54,C=CC(=O)N,-0.8
55,C(C(C(=O)N)Br)Br,1.91
56,C(CBr)C(=O)O,-0.04
57,COC(=O)CBr,1.96
58,C(CCl)C(=O)O,-0.33
59,COC(=O)CCl,0.89
60,CCN=C=S,1.63
61,C=CCO,-1.92
62,CC(=O)C,-2.27
63,CCC=O,-0.63
64,C(C(CBr)O)Br,0.57
65,C(C(CBr)Br)O,-0.49
66,C(C(CCl)O)Cl,-0.79
67,CC(C(=O)N)Br,0.0
68,CC(C(=O)N)Cl,-1.44
69,C(CCl)C(=O)N,-1.59
70,CC(=O)OC,-1.92
71,CCC(=O)O,-0.51
72,CC(C)([N+](=O)[O-])Br,1.85
73,C(C(=O)N)C(=O)N,-2.15
74,CS(=O)(=O)C=C,0.99
75,CCCI,-0.39
76,CC(CBr)O,-1.19
77,C(CO)CBr,-0.93
78,CC(CCl)O,-1.49
79,C(CO)CCl,-1.4
80,CC(=NO)C,-1.25
81,CC(=O)NC,-1.98
82,CCC(=O)N,-2.09
83,C(C(CBr)O)O,-1.21
84,C(C(CCl)O)O,-1.63
85,CCC[N+](=O)[O-],-0.99
86,CCOC(=O)N,-1.65
87,CCCO,-1.8
88,CC(C)O,-1.94
89,CC(CO)O,-2.51
90,CNC(=S)NC,-1.11
91,CCNC(=S)N,-1.13
92,CCCN,-0.78
93,CC(C)N,-0.87
94,CC(CN)O,-0.89
95,CNCCO,-0.76
96,CC(CO)N,-0.82
97,C(CN)CO,-0.81
98,CC(CN)N,-0.56
99,C(CN)CN,-0.7
100,C1=NC(=C(C(=N1)Cl)[N+](=O)[O-])Cl,2.12
101,C1=C(SC(=C1)Br)Cl,0.75
102,C1=CSC(=C1Br)Cl,0.73
103,C1=C(SC(=C1)Br)[N+](=O)[O-],1.41
104,C1=COC=C1Br,-0.48
105,C1=COC(=C1)[N+](=O)[O-],0.74
106,C1=CSC(=C1)Br,0.09
107,C1=CSC=C1Br,-0.04
108,C1=CSC(=C1)Cl,-0.59
109,C#CCN=C=S,2.24
110,C1=CSC(=C1)[N+](=O)[O-],0.51
111,C(CC#N)C#N,-1.82
112,C1=CN=CC=N1,-1.85
113,C1=CC=NN=C1,-1.41
114,C1=CN=CN=C1,-1.75
115,CC(=O)C#C,1.69
116,C1=COC=C1,-1.65
117,COC(=O)C#C,1.77
118,C(C(=O)C(=O)CBr)Br,1.76
119,C1=C(C=NC(=N1)N)[N+](=O)[O-],-0.43
120,C1=CSC=C1,-1.44
121,CC#CCBr,1.28
122,C1=CNC=C1,-1.1
123,CC(=C)C#N,-1.65
124,C=CCC#N,-1.48
125,COC(=O)CC#N,-1.34
126,C=CCN=C=S,1.96
127,C1CC1N=C=S,1.85
128,C(/C=C/CBr)Br,1.92
129,C(/C=C/CCl)Cl,0.77
130,C(/C=C\CCl)Cl,1.02
131,C(CC#N)CBr,-0.67
132,C(CC#N)CCl,-0.93
133,CC1=NC=CN1,-0.91
134,C/C=C/C=O,0.88
135,CC(=C)C=O,0.67
136,CC#CCO,-1.11
137,CC(=O)C=C,1.5
138,C#CCCO,-1.84
139,CC(C#C)O,-0.4
140,C/C=C/C(=O)O,-0.54
141,CC1CC(=O)O1,-0.76
142,C(C#CCO)O,-1.54
143,C=CCC(=O)O,-0.64
144,CC(=O)C(=O)C,-0.23
145,CC(=O)OC=C,-0.86
146,COC(=O)C=C,0.55
147,C1CC(=O)OC1,-1.72
148,C(CC(=O)O)C(=O)O,-0.94
149,COC(=O)C(=O)OC,-0.81
150,C=CS(=O)(=O)C=C,1.41
151,CC(C)C#N,-1.68
152,CCCC#N,-1.44
153,CNCC#C,-0.98
154,CCC(=O)CBr,2.6
155,CC(C(=O)C)Br,1.85
156,CC(C(=O)C)Cl,0.27
157,CC(C)(C(=O)O)Br,-0.58
