,Smiles,pIGC50,Canonical_SMILES,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
0,C(Cl)(Cl)(Cl)Cl,-0.16,ClC(Cl)(Cl)Cl,4.826388888888888,4.826388888888888,1.6111111111111107,-1.6111111111111107,0.4697955363527546,12.0,153.823,153.823,151.87541072,32,0,0.2656852112875353,-0.06642130282188383,0.2656852112875353,0.06642130282188383,0.8,0.8,0.8,0.7219280948873623,3.0237157840738176,19.11941547876375,4.5,2.011857892036909,5.035573676110727,2.0,0.7559289460184544,2.2677868380553634,0.42857142857142844,3.857142857142857,0.0,0.0,0.0,0.0,1.16,3.6096404744368114,6.16,1.7418482569208207,38.291985731272305,49.952315935356246,0.0,0.0,0.0,0.0,3.251717757574102,0.0,0.0,0.0,0.0,0.0,46.40375956093006,0.0,0.0,0.0,0.0,46.40375956093006,0.0,0.0,0.0,3.251717757574102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.40375956093006,3.251717757574102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.251717757574102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.40375956093006,-1.6111111111111107,19.305555555555554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2.5529,26.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,C([N+](=O)[O-])Br,1.64,O=[N+]([O-])CBr,9.40451388888889,9.40451388888889,1.0625000000000004,-2.4652777777777777,0.23156665130818374,16.2,139.93600000000004,137.92000000000002,138.926890404,30,0,0.2563859075961526,-0.2636383176135541,0.2636383176135541,0.2563859075961526,2.4,2.6,2.6,1.3143204867061788,3.7911184170869663,88.18080946738405,6.077350269189626,4.141674649436911,3.727671188551615,2.9433756729740645,1.7777374059247033,1.5707356754820554,0.34162521055790007,0.6962648179118883,0.06900655593423542,0.3585685828003181,0.0,0.0,-0.1200000000000001,17.086166327180326,2.1248516821694667,2.1377319587628865,3.8799999999999994,40.06971535630634,0.0,2.7415171123404405,0.0,0.0,5.406127708451364,0.0,10.114318268765572,0.0,0.0,0.0,0.0,15.929943897949348,4.923311048817671,0.0,7.664828161158112,15.929943897949348,0.0,0.0,0.0,0.0,5.406127708451364,10.114318268765572,0.0,0.0,0.0,0.0,0.0,15.929943897949348,10.329438757269035,0.0,10.114318268765572,2.7415171123404405,0.0,0.0,0.0,0.0,43.14,10.329438757269035,10.114318268765572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.929943897949348,2.7415171123404405,12.541666666666666,2.177083333333333,8.34201388888889,6.939236111111112,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,0,3,0,0,0,0,0,0,2,0,4,1,0,0,0,0,0.6154999999999999,20.788399999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,CO,-2.72,CO,6.104166666666667,6.104166666666667,2.5416666666666665,-2.5416666666666665,0.38528440447384316,38.0,32.041999999999994,28.009999999999998,32.026214748,14,0,0.20962966438668965,-0.3996302435573072,0.3996302435573072,0.20962966438668965,3.5,4.0,4.0,1.3516441151533924,3.1684898726705697,37.30296890880646,5.207106781186548,4.908248290463863,0.9082482904638631,2.5606601717798214,2.1123724356957947,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,12.164797036380532,0.07342351716961498,0.9600000000000016,-27.040000000000028,19.240037038824052,5.1088081911072125,0.0,0.0,1.4311996572326342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.037952458882589,4.1122756685106605,9.221083859617874,0.0,1.4311996572326342,0.0,0.0,0.0,7.037952458882589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.577960307222435,0.0,0.0,4.1122756685106605,0.0,0.0,0.0,0.0,20.23,7.037952458882589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1088081911072125,5.5434753257432945,24.104166666666668,0.0,0.0,3.1875,0.0,0.0,0.0,0.0,0.0,-2.5416666666666665,1.0,2,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,-0.3915,8.1428,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,C(=O)NN,-0.87,NNC=O,9.70861111111111,9.70861111111111,0.22222222222222232,-1.4074074074074068,0.16923031798705804,20.25,60.05600000000001,56.024,60.032362748,24,0,0.22056147615737606,-0.2968962965192883,0.2968962965192883,0.22056147615737606,3.0,3.75,3.75,1.6403360647604435,3.6376825478398387,94.03910001730775,6.732050807568877,5.802675481463779,1.8026754814637789,3.553418012614795,2.469371729481784,0.6277309429819105,0.19128709291752768,0.19128709291752768,0.040824829046386304,0.040824829046386304,0.0,0.0,-0.5700000000000001,39.36806555425064,0.48987437386473287,2.4299999999999993,1.4299999999999984,29.554713926115312,0.0,4.194442712826621,1.4118420783282006,6.386146945317806,0.0,0.0,10.213353330464251,5.828719768830327,0.0,0.0,0.0,0.0,0.0,0.0,10.400821975226643,6.386146945317806,0.0,5.418816146392429,5.828719768830327,0.0,0.0,0.0,0.0,0.0,11.247535915222755,0.0,0.0,0.0,6.386146945317806,4.794537184071822,0.0,1.3707585561702202,0.0,4.235526234984602,0.0,0.0,55.12,6.386146945317806,4.794537184071822,0.0,11.247535915222755,0.0,0.0,0.0,0.0,0.0,0.0,5.606284791154822,24.883981481481477,0.0,9.70861111111111,0.0,-0.22222222222222232,-0.2962962962962963,0.0,-1.4074074074074068,0.0,0.0,0.0,4,3,3,0,0,0,0,0,0,2,2,3,1,0,0,0,0,-1.3939000000000001,13.3871,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,C(=S)(N)N,-1.32,NC(N)=S,6.391203703703703,6.391203703703703,0.02314814814814814,-0.48148148148148073,0.3708735272056179,18.0,76.12399999999998,72.092,76.009519128,24,0,0.1604962987996412,-0.3765057148380912,0.3765057148380912,0.1604962987996412,2.0,2.5,2.5,1.6403360647604435,3.65123357893369,82.03910001730775,6.732050807568877,5.802675481463779,2.6191720623915047,3.553418012614795,2.440192122731721,1.0595860311957523,0.2825741858350554,0.647722557505166,0.0,0.0,0.0,0.0,-0.31000000000000005,39.36806555425064,0.5965937380602868,1.0617472118959108,8.372622268470339,35.629921198684464,11.439433951452546,0.0,10.759805198037562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.217873443046695,0.0,0.0,5.6473683133128025,17.330310327771453,0.0,0.0,11.439433951452546,0.0,0.0,0.0,0.0,0.0,11.439433951452546,0.0,0.0,12.217873443046695,5.112436884724758,0.0,0.0,0.0,0.0,5.6473683133128025,0.0,0.0,52.04,5.112436884724758,0.0,0.0,11.439433951452546,0.0,0.0,0.0,0.0,0.0,12.217873443046695,5.6473683133128025,25.564814814814813,4.203703703703703,0.0,-0.48148148148148073,0.04629629629629628,0.0,0.0,0.0,0.0,0.0,0.0,4,4,2,0,0,0,0,0,0,1,2,3,0,0,0,0,0,-0.8113000000000001,20.972800000000007,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,C(#N)C(Cl)(Cl)Cl,1.88,N#CC(Cl)(Cl)Cl,7.756944444444445,7.756944444444445,1.4004629629629632,-1.7361111111111107,0.47630585255168656,10.333333333333334,144.388,144.388,142.90963204,34,0,0.2771407646015829,-0.19353009583571426,0.2771407646015829,0.19353009583571426,1.3333333333333333,1.5,1.5,1.3516441151533924,3.552734354515761,75.77443751081735,5.207106781186548,2.58110701452764,4.848893852583003,2.5606601717798214,1.04055350726382,2.1744469262915014,0.6095624679176241,2.8907948917171793,0.1267731382092775,0.3803194146278325,0.0,0.0,0.35999999999999993,12.164797036380532,6.36,1.8809711720226845,4.360000000000002,50.406571504339894,0.0,6.069221312792274,0.0,0.0,3.7925359355297714,0.0,0.0,0.0,5.261891554738487,0.0,34.802819670697545,0.0,0.0,0.0,0.0,34.802819670697545,5.261891554738487,0.0,0.0,3.7925359355297714,0.0,0.0,0.0,6.069221312792274,0.0,0.0,0.0,34.802819670697545,3.7925359355297714,0.0,11.33111286753076,0.0,0.0,0.0,0.0,0.0,23.79,3.7925359355297714,0.0,0.0,0.0,0.0,0.0,6.069221312792274,0.0,0.0,0.0,40.064711225436035,-1.7361111111111107,14.662037037037035,0.0,7.756944444444445,0.0,0.0,1.4004629629629632,0.0,0.0,0.0,0.5,6,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1.88018,25.903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,C(#N)C(Br)Br,2.4,N#CC(Br)Br,7.871527777777778,7.871527777777778,1.2777777777777777,-1.2777777777777777,0.5433359319399053,12.6,198.845,197.837,196.847573232,28,0,0.15564749807935996,-0.19612864902008556,0.19612864902008556,0.15564749807935996,2.0,2.2,2.2,1.3516441151533924,3.552734354515761,78.52932501298082,5.207106781186548,3.2031425415184125,5.37513561974782,2.5606601717798214,1.3515712707592062,2.43756780987391,0.3722142068081745,3.0223553335083833,0.08451542547285165,0.4391550328268399,0.0,0.0,0.44999999999999996,12.164797036380532,3.6334862385321105,2.6747191011235953,4.45,48.63683853514541,0.0,0.0,3.7124937336339157,0.0,0.0,0.0,0.0,0.0,5.261891554738487,0.0,31.859887795898697,0.0,0.0,7.439979868962494,1.3707585561702202,31.859887795898697,5.261891554738487,0.0,0.0,3.7124937336339157,0.0,0.0,0.0,6.069221312792274,0.0,0.0,0.0,31.859887795898697,3.7124937336339157,0.0,11.33111286753076,1.3707585561702202,0.0,0.0,0.0,0.0,23.79,3.7124937336339157,0.0,0.0,0.0,0.0,0.0,0.0,6.069221312792274,0.0,31.859887795898697,6.632650110908707,5.375,5.399305555555555,0.0,7.871527777777778,0.0,0.0,1.6041666666666665,0.0,0.0,0.0,0.5,5,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1.62588,27.255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,C(#N)C(Cl)Cl,0.97,N#CC(Cl)Cl,7.701388888888889,7.701388888888889,1.3016975308641978,-1.958333333333333,0.4309890888185517,12.6,109.943,108.935,108.948604392,28,0,0.19285531226143693,-0.19530384061859718,0.19530384061859718,0.19285531226143693,2.0,2.2,2.2,1.3516441151533924,3.552734354515761,78.52932501298082,5.207106781186548,3.2031425415184125,3.7150004335553213,2.5606601717798214,1.3515712707592062,1.6075002167776606,0.3722142068081745,1.3216072512459731,0.08451542547285165,0.253546276418555,0.0,0.0,0.06999999999999995,12.164797036380532,3.2672386587771207,2.315700245700246,4.070000000000001,41.50827577762603,0.0,0.0,4.81232132945174,0.0,0.0,0.0,0.0,0.0,5.261891554738487,0.0,23.20187978046503,0.0,0.0,7.439979868962494,1.3707585561702202,23.20187978046503,5.261891554738487,0.0,0.0,4.81232132945174,0.0,0.0,0.0,6.069221312792274,0.0,0.0,0.0,23.20187978046503,4.81232132945174,0.0,11.33111286753076,1.3707585561702202,0.0,0.0,0.0,0.0,23.79,4.81232132945174,0.0,0.0,0.0,0.0,0.0,6.069221312792274,0.0,0.0,0.0,29.834529891373737,6.3503086419753085,9.57716049382716,-1.958333333333333,7.701388888888889,0.0,0.0,1.3016975308641978,0.0,0.0,0.0,0.5,5,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1.31368,21.106999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,C(C#N)Br,2.23,N#CCBr,7.730902777777778,7.730902777777778,1.3541666666666665,-1.8402777777777777,0.4354466178463637,16.0,119.94899999999998,117.93299999999999,118.937061164,22,0,0.09053586397828954,-0.19740849570679975,0.19740849570679975,0.09053586397828954,2.5,2.75,2.75,1.3516441151533924,3.552734354515761,78.52932501298082,5.207106781186548,3.825178068509185,3.411174607623889,2.5606601717798214,1.6625890342545926,1.4555873038119445,0.2062945171272963,0.6027936519059723,0.042257712736425826,0.21957751641341994,0.0,0.0,-0.030000000000000027,12.164797036380532,1.417720528401799,2.969999999999999,1.969999999999999,36.174261429671866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.261891554738487,0.0,15.929943897949348,0.0,0.0,14.09293135059751,2.7415171123404405,15.929943897949348,5.261891554738487,0.0,0.0,0.0,5.282192925464797,0.0,0.0,6.069221312792274,0.0,0.0,0.0,15.929943897949348,5.282192925464797,0.0,11.33111286753076,2.7415171123404405,0.0,0.0,0.0,0.0,23.79,5.282192925464797,0.0,0.0,0.0,0.0,0.0,6.069221312792274,0.0,0.0,15.929943897949348,8.003408667078928,12.805555555555555,2.4496527777777777,0.0,5.890625,0.0,0.0,1.3541666666666665,0.0,0.0,0.0,0.5,4,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0.90488,19.406999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,C(C#N)Cl,0.85,N#CCCl,7.645833333333333,7.645833333333333,1.2029320987654324,-2.1805555555555554,0.3899188344141469,16.0,75.49799999999999,73.482,74.987576744,22,0,0.10946980530287262,-0.19700783941595343,0.19700783941595343,0.10946980530287262,2.5,2.75,2.75,1.3516441151533924,3.552734354515761,78.52932501298082,5.207106781186548,3.825178068509185,2.58110701452764,2.5606601717798214,1.6625890342545926,1.04055350726382,0.2062945171272963,0.3952767536319099,0.042257712736425826,0.1267731382092775,0.0,0.0,-0.22000000000000003,12.164797036380532,1.2785732042506255,2.7799999999999994,1.7799999999999987,32.60998005091217,0.0,5.832106723373709,0.0,0.0,0.0,0.0,0.0,0.0,5.261891554738487,11.600939890232516,0.0,0.0,0.0,8.810738425132714,2.7415171123404405,11.600939890232516,5.261891554738487,0.0,0.0,0.0,5.832106723373709,0.0,0.0,6.069221312792274,0.0,0.0,0.0,11.600939890232516,5.832106723373709,0.0,11.33111286753076,2.7415171123404405,0.0,0.0,0.0,0.0,23.79,5.832106723373709,0.0,0.0,0.0,0.0,0.0,6.069221312792274,0.0,0.0,11.600939890232516,8.003408667078928,12.503086419753085,4.689814814814814,0.0,7.645833333333333,0.0,-2.1805555555555554,1.2029320987654324,0.0,0.0,0.0,0.5,4,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0.74878,16.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
